33,33,33,101,50,54,54,54,54,54,54,54,54,54,54,54,55,0,1,2,3,2,3,4,5
33,33,33,133,114,54,243,180,181,180,181,180,181,180,244,54,119,32,33,33,33,33,33,33,37
162,163,164,165,82,54,119,0,1,2,3,2,4,5,114,54,87,96,33,33,33,33,33,33,69
19,21,20,20,276,54,87,32,33,33,33,33,33,37,82,54,119,128,33,33,33,33,33,33,133
54,54,54,54,54,54,151,64,33,33,33,33,33,69,114,54,87,160,161,163,162,163,162,164,165
132,33,181,180,181,182,183,96,33,33,33,33,33,101,82,54,275,21,20,21,20,21,20,21,20
132,33,21,20,21,22,23,64,33,33,33,33,33,69,114,54,54,54,54,54,54,54,54,54,53
54,54,54,54,54,54,55,96,33,33,33,33,33,101,82,54,243,180,181,180,181,180,181,180,181
179,181,180,180,244,54,119,128,33,33,33,33,33,133,114,54,119,222,30,279,30,279,30,279,287
2,3,4,5,114,54,87,160,161,162,163,162,164,165,82,54,119,60,33,33,33,33,33,33,247
33,33,33,37,82,54,275,20,21,20,21,20,21,20,276,54,87,214,33,33,33,33,33,33,61
33,33,33,69,146,54,54,54,54,54,54,54,54,54,54,54,151,254,62,310,62,310,62,310,319
